BELNR,LIFNR,VBELN_REF,BUDAT,RECHNUNGSDATUM,WRBTR,WAERS,BUKRS,GJAHR,BLART,ZLSCH,MWSKZ,SGTXT
0005900074,0000300072,SH-97,08.07.2025,06.07.2025,4812,JPY,1000,2025,RE,T,J0,Freight charges - SH-97
0005900180,0000300080,235,14.06.2025,12.06.2025,15056,JPY,1000,2025,RE,T,J0,Freight charges - 235
0005900156,0000300091,SH-205,08.06.2025,05.06.2025,47623,JPY,1000,2025,RE,T,J0,Freight charges - SH-205
0005900138,0000300018,SH184,25.07.2025,25.07.2025,13218,JPY,1000,2025,RE,T,J0,Freight charges - SH184
0005900181,0000300084,SH-236,26.07.2025,23.07.2025,25012,JPY,1000,2025,RE,T,J0,Freight charges - SH-236
0005900154,0000300068,SH203,16.06.2025,16.06.2025,15016,JPY,1000,2025,RE,T,J0,Freight charges - SH203
0005900109,0000300048,SH-145,31.07.2025,31.07.2025,31517,JPY,1000,2025,RE,T,J0,Freight charges - SH-145
0005900131,0000300073,SH174,18.07.2025,15.07.2025,16548,JPY,1000,2025,RE,T,J0,Freight charges - SH174
0005900163,0000300061,SH213,22.05.2025,21.05.2025,33733,JPY,1000,2025,RE,T,J0,Freight charges - SH213
0005900117,0000300095,SH-154,07.07.2025,07.07.2025,41500,JPY,1000,2025,RE,T,J0,Freight charges - SH-154
0005900188,0000300068,SH244,12.07.2025,12.07.2025,36950,JPY,1000,2025,RE,T,J0,Freight charges - SH244
0005900097,0000300007,SH-131,29.06.2025,27.06.2025,26482,JPY,1000,2025,RE,T,J0,Freight charges - SH-131
0005900124,0000300065,SH164,19.07.2025,16.07.2025,51400,JPY,1000,2025,RE,T,J0,Freight charges - SH164
0005900016,0000300047,SH22,04.07.2025,02.07.2025,31266,JPY,1000,2025,RE,T,J0,Freight charges - SH22
0005900057,0000300087,SH75,25.06.2025,22.06.2025,48936,JPY,1000,2025,RE,T,J0,Freight charges - SH75
0005900001,0000300005,SH-1,16.07.2025,15.07.2025,57141,JPY,1000,2025,RE,T,J0,Freight charges - SH-1
0005900090,0000300084,121,25.07.2025,25.07.2025,32797,JPY,1000,2025,RE,T,J0,Freight charges - 121
0005900095,0000300062,128,01.06.2025,31.05.2025,56581,JPY,1000,2025,RE,T,J0,Freight charges - 128
0005900037,0000300091,SH-49,03.06.2025,01.06.2025,4807,JPY,1000,2025,RE,T,J0,Freight charges - SH-49
0005900110,0000300003,146,13.07.2025,13.07.2025,35143,JPY,1000,2025,RE,T,J0,Freight charges - 146
0005900217,0000300059,SH282,05.06.2025,02.06.2025,28456,JPY,1000,2025,RE,T,J0,Freight charges - SH282
0005900050,0000300093,66,24.05.2025,22.05.2025,30112,JPY,1000,2025,RE,T,J0,Freight charges - 66
0005900012,0000300066,SH13,28.07.2025,27.07.2025,58568,JPY,1000,2025,RE,T,J0,Freight charges - SH13
0005900073,0000300049,96,21.07.2025,18.07.2025,24421,JPY,1000,2025,RE,T,J0,Freight charges - 96
0005900153,0000300062,SH-202,27.06.2025,26.06.2025,54851,JPY,1000,2025,RE,T,J0,Freight charges - SH-202
0005900227,0000300013,SH-295,15.06.2025,15.06.2025,33817,JPY,1000,2025,RE,T,J0,Freight charges - SH-295
0005900128,0000300023,SH-170,30.05.2025,27.05.2025,32965,JPY,1000,2025,RE,T,J0,Freight charges - SH-170
0005900173,0000300005,SH-226,29.05.2025,26.05.2025,23835,JPY,1000,2025,RE,T,J0,Freight charges - SH-226
0005900083,0000300079,SH-108,06.06.2025,03.06.2025,4988,JPY,1000,2025,RE,T,J0,Freight charges - SH-108
0005900206,0000300018,SH268,16.06.2025,14.06.2025,17669,JPY,1000,2025,RE,T,J0,Freight charges - SH268
0005900065,0000300029,87,01.06.2025,29.05.2025,16146,JPY,1000,2025,RE,T,J0,Freight charges - 87
0005900069,0000300007,SH92,30.07.2025,29.07.2025,42725,JPY,1000,2025,RE,T,J0,Freight charges - SH92
0005900008,0000300078,SH-9,18.05.2025,18.05.2025,4361,JPY,1000,2025,RE,T,J0,Freight charges - SH-9
0005900219,0000300017,SH286,03.07.2025,30.06.2025,29141,JPY,1000,2025,RE,T,J0,Freight charges - SH286
0005900021,0000300012,28,19.07.2025,17.07.2025,11438,JPY,1000,2025,RE,T,J0,Freight charges - 28
0005900108,0000300054,SH-144,31.05.2025,28.05.2025,44047,JPY,1000,2025,RE,T,J0,Freight charges - SH-144
0005900029,0000300075,SH37,22.07.2025,19.07.2025,35580,JPY,1000,2025,RE,T,J0,Freight charges - SH37
0005900077,0000300023,101,19.06.2025,17.06.2025,35650,JPY,1000,2025,RE,T,J0,Freight charges - 101
0005900218,0000300041,SH-285,10.06.2025,08.06.2025,25138,JPY,1000,2025,RE,T,J0,Freight charges - SH-285
0005900019,0000300041,SH-26,26.06.2025,23.06.2025,11814,JPY,1000,2025,RE,T,J0,Freight charges - SH-26
0005900032,0000300007,42,15.06.2025,13.06.2025,45616,JPY,1000,2025,RE,T,J0,Freight charges - 42
0005900013,0000300080,SH-14,11.06.2025,10.06.2025,29189,JPY,1000,2025,RE,T,J0,Freight charges - SH-14
0005900091,0000300049,122,25.07.2025,25.07.2025,57510,JPY,1000,2025,RE,T,J0,Freight charges - 122
0005900214,0000300026,278,09.07.2025,08.07.2025,26130,JPY,1000,2025,RE,T,J0,Freight charges - 278
