TANUM,VBELN,LGNUM,VORGA,CONFIRM_TS,MENGE_CONF,LENUM,VLPLA,NLPLA,MEINS,BENUM,TASTATUS
0000700001,4500000001,4000,PICK_START,03.07.2025 09:00:00,45,HU816137,A-04-03,A-05-05,PC,OP133,C
0000700002,4500000001,4000,PICK_CONFIRM,03.07.2025 13:51:55,45,HU816137,A-04-03,A-05-05,PC,OP133,C
0000700003,4500000001,4000,PACK_START,03.07.2025 19:08:30,45,HU816137,A-04-03,A-05-05,PC,OP133,C
0000700004,4500000001,4000,PACK_CONFIRM,03.07.2025 22:44:28,45,HU816137,A-04-03,A-05-05,PC,OP133,C
0000700005,4500000001,4000,LOAD,04.07.2025 00:52:54,45,HU816137,A-04-03,A-05-05,PC,OP133,C
0000700006,4500000001,4000,GOODS_ISSUE,04.07.2025 02:47:18,45,HU816137,A-04-03,A-05-05,PC,OP133,C
0000700007,4500000002,1000,PICK_START,30.07.2025 11:00:00,316,HU447300,A-03-02,A-05-04,PC,OP192,C
0000700008,4500000002,1000,PICK_CONFIRM,30.07.2025 16:12:51,316,HU447300,A-03-02,A-05-04,PC,OP192,C
0000700009,4500000002,1000,PACK_START,30.07.2025 18:21:34,316,HU447300,A-03-02,A-05-04,PC,OP192,C
0000700010,4500000002,1000,PACK_CONFIRM,30.07.2025 19:27:20,316,HU447300,A-03-02,A-05-04,PC,OP192,C
0000700011,4500000002,1000,LOAD,30.07.2025 21:24:07,316,HU447300,A-03-02,A-05-04,PC,OP192,C
0000700012,4500000002,1000,GOODS_ISSUE,30.07.2025 22:56:15,316,HU447300,A-03-02,A-05-04,PC,OP192,C
0000700013,4500000003,3000,PICK_START,23.06.2025 08:00:00,76,HU879020,A-05-05,A-04-04,PC,OP235,C
0000700014,4500000003,3000,PICK_CONFIRM,23.06.2025 11:32:51,76,HU879020,A-05-05,A-04-04,PC,OP235,C
0000700015,4500000003,3000,PACK_START,23.06.2025 12:46:59,76,HU879020,A-05-05,A-04-04,PC,OP235,C
0000700016,4500000003,3000,PACK_CONFIRM,23.06.2025 14:06:43,76,HU879020,A-05-05,A-04-04,PC,OP235,C
0000700017,4500000003,3000,LOAD,23.06.2025 16:59:40,76,HU879020,A-05-05,A-04-04,PC,OP235,C
0000700018,4500000003,3000,GOODS_ISSUE,23.06.2025 19:34:43,76,HU879020,A-05-05,A-04-04,PC,OP235,C
0000700019,4500000004,1000,PICK_START,11.07.2025 08:00:00,353,HU734088,A-03-02,A-02-03,PC,OP266,C
0000700020,4500000004,1000,PICK_CONFIRM,11.07.2025 11:16:07,353,HU734088,A-03-02,A-02-03,PC,OP266,C
0000700021,4500000004,1000,PACK_START,11.07.2025 16:38:52,353,HU734088,A-03-02,A-02-03,PC,OP266,C
0000700022,4500000004,1000,PACK_CONFIRM,11.07.2025 18:26:16,353,HU734088,A-03-02,A-02-03,PC,OP266,C
0000700023,4500000004,1000,LOAD,11.07.2025 20:56:23,353,HU734088,A-03-02,A-02-03,PC,OP266,C
0000700024,4500000004,1000,GOODS_ISSUE,11.07.2025 22:17:49,353,HU734088,A-03-02,A-02-03,PC,OP266,C
0000700025,4500000005,2000,PICK_START,24.05.2025 10:00:00,281,HU389351,A-02-02,A-04-04,PC,OP198,C
0000700026,4500000005,2000,PICK_CONFIRM,24.05.2025 12:11:50,281,HU389351,A-02-02,A-04-04,PC,OP198,C
0000700027,4500000005,2000,PACK_START,24.05.2025 16:02:02,281,HU389351,A-02-02,A-04-04,PC,OP198,C
0000700028,4500000005,2000,PACK_CONFIRM,24.05.2025 17:16:13,281,HU389351,A-02-02,A-04-04,PC,OP198,C
0000700029,4500000005,2000,LOAD,24.05.2025 20:27:57,281,HU389351,A-02-02,A-04-04,PC,OP198,C
0000700030,4500000005,2000,GOODS_ISSUE,24.05.2025 23:05:53,281,HU389351,A-02-02,A-04-04,PC,OP198,C
0000700031,4500000006,4000,PICK_START,15.07.2025 13:00:00,113,HU191468,A-01-04,A-01-05,PC,OP261,C
0000700032,4500000006,4000,PICK_CONFIRM,15.07.2025 14:36:18,113,HU191468,A-01-04,A-01-05,PC,OP261,C
0000700033,4500000006,4000,PACK_START,15.07.2025 17:17:43,113,HU191468,A-01-04,A-01-05,PC,OP261,C
0000700034,4500000006,4000,PACK_CONFIRM,15.07.2025 20:03:37,113,HU191468,A-01-04,A-01-05,PC,OP261,C
0000700035,4500000006,4000,LOAD,15.07.2025 21:45:02,113,HU191468,A-01-04,A-01-05,PC,OP261,C
0000700036,4500000006,4000,GOODS_ISSUE,15.07.2025 23:11:28,113,HU191468,A-01-04,A-01-05,PC,OP261,C
0000700037,4500000007,2000,PICK_START,09.05.2025 12:00:00,147,HU878659,A-04-05,A-01-04,PC,OP110,C
0000700038,4500000007,2000,PICK_CONFIRM,09.05.2025 13:57:07,147,HU878659,A-04-05,A-01-04,PC,OP110,C
0000700039,4500000007,2000,PACK_START,09.05.2025 17:06:26,147,HU878659,A-04-05,A-01-04,PC,OP110,C
0000700040,4500000007,2000,PACK_CONFIRM,09.05.2025 19:22:40,147,HU878659,A-04-05,A-01-04,PC,OP110,C
