VBELN,ERDAT,KUNNR,MATNR,KWMENG,WERKS,VDATU,EDATU,VSBED,LPRIO,AUFT_STATUS,VKORG,VTWEG,SPART,AUART,BSTNK,WAERK,NETWR,INCO1,ZTERM,ERNAM
Sales Document,Creation Date,Customer Number,Material Number,Order Quantity,Plant,Customer-Requested Delivery Date,Schedule-Line Date,Shipping Condition,Delivery Priority,Order Status,Sales Organization,Distribution Channel,Division,Sales Document Type,Customer PO Number,Currency,Net Order Value,Incoterms,Payment Terms,Created By
4500000053,06.07.2025,0000100036,100000000000000054,41,3000,17.07.2025,10.07.2025,01,01,Open,1000,10,00,OR,PO18344,JPY,261621,EXW,NT45,K.TANAKA
4500000206,17.06.2025,0000100009,100000000000000017,253 ,1000,29.06.2025,22.06.2025,02,01,Open,1000,10,00,OR,PO11570,JPY,258060,CIP,NT30,H.WATANABE
4500000104,14.06.2025,0000100029,100000000000000022,338,4000,24.06.2025,22.06.2025,03,01,Open,1000,10,00,OR,PO26458,JPY,2967302,EXW,NT60,H.WATANABE
4500000086,30.07.2025,0000100008,100000000000000041,193,3000,06.08.2025,06.08.2025,01,01,Open,1000,10,00,OR,PO74067,JPY,601195,DAP,NT30,R.ITO
4500000193,2025-06-12,0000100001,100000000000000001,199,2000,21.06.2025,17.06.2025,01,01,Open,1000,10,00,OR,PO52731,JPY,2184224,CIP,NT45,M.SATO
4500000093,21.06.2025,0000100016,100000000000000017,174,2000,01.07.2025,25.06.2025,01,02,Open,1000,10,00,OR,PO16930,JPY,177480,FOB,NT45,R.ITO
4500000254,22.07.2025,0000100029,100000000000000048,76,2000,30.07.2025,29.07.2025,01,01,Open,1000,10,00,OR,PO28764,JPY,988684,DAP,NT30,H.WATANABE
4500000212,15.05.2025,0000100003,100000000000000030,84,3000,23.05.2025,20.05.2025,01,01,Open,1000,10,00,OR,PO11742,JPY,791952,FOB,NT30,R.ITO
4500000140,06.05.2025,0000100014,100000000000000011,46,3000,17.05.2025,13.05.2025,01,01,Open,1000,10,00,OR,PO28045,JPY,533002,DAP,NT30,M.SATO
